"DataCode","Rectype","RecYear","Date","Watershed","Transect","TrapStation","Species","SpecimenNo1","SpecimenNo2","VoucherNo","RecaptureStatus","Disposition","TotalLength","TailLength","HFLength","EarLength","Weight","Sex","Age","ReprodCondition","Comments"
"csm08",1,2016,"7/15/2016","20B","W","8","PMLE","",NA,"NK269755","N","V",165,76,18,"22","19.2","F","A","CSN",""
"csm08",1,2016,"7/12/2016","20B","W","9","PMLE","",NA,"NK269676","N","V",160,69,17,"22","29","M","A","S",""
"csm08",1,2016,"7/13/2016","20B","W","10","PMLE","",NA,"NK269712","N","V",175,77,18,"22","25.1","M","A","S",""
"csm08",1,2016,"7/14/2016","20B","W","10","PMLE","",NA,"NK269739","N","V",180,81,19,"21","30.7","M","A","S",""
"csm08",1,2016,"7/12/2016","20B","W","11","PMLE","",NA,"NK269677","N","V",164,76,17,"22","27.8","M","A","S",""
"csm08",1,2016,"7/15/2016","20B","W","11","PMLE","",NA,"NK269753","N","V",163,80,16,"22","25.1","M","A","S",""
"csm08",1,2016,"7/13/2016","20B","W","12","PMLE","",NA,"NK269713","N","V",171,75,17,"73","22","F","A","CSN",""
"csm08",1,2016,"7/12/2016","20B","W","13","PMLE","",NA,"NK269678","N","V",171,84,18,"23","30.7","M","A","S","NK269678"
"csm08",1,2016,"7/12/2016","20B","W","13","PMLE","",NA,"NK269679","N","V",172,79,17,"21","22.1","F","A","CSN",""
"csm08",1,2016,"7/14/2016","20B","W","13","PMLE","",NA,"NK269742","N","V",180,80,16,"22","28.6","M","A","S",""
"csm08",1,2016,"7/12/2016","20B","W","14","PMLE","",NA,"NK269680","N","V",180,87,18,"23","32.8","F","A","EL","?EL"
"csm08",1,2016,"7/15/2016","20B","W","14","PMLE","",NA,"NK269756","N","V",186,88,17,"22","36.5","F","A","CEL",""
"csm08",1,2016,"7/12/2016","20B","W","15","PMLE","",NA,"NK269681","N","V",182,84,19,"23","38.9","M","A","S",""
"csm08",1,2016,"7/13/2016","20B","W","15","PMLE","",NA,"NK269716","N","V",173,75,18,"22","25.9","F","A","CLL",""
"csm08",1,2016,"7/14/2016","20B","W","16","PMLE","",NA,"NK269743","N","V",186,81,19,"23","32.4","F","A","OLL",""
"csm08",1,2016,"7/12/2016","20B","W","17","PMLE","",NA,"NK269683","N","V",185,83,18,"24","32.9","F","A","OEL",""
"csm08",1,2016,"7/13/2016","20B","W","17","PMLE","",NA,"NK269717","N","V",174,73,17,"23","20.7","M","A","S",""
"csm08",1,2016,"7/13/2016","20B","W","17","PMLE","",NA,"NK269718","N","V",166,70,18,"21","22.3","M","A","S",""
"csm08",1,2016,"7/14/2016","20B","W","17","PMLE","",NA,"NK269744","N","V",180,80,19,"22","31.2","F","A","CLL",""
"csm08",1,2016,"7/13/2016","20B","W","18","PMLE","",NA,"NK269719","N","V",172,69,18,"22","30","M","A","S",""
"csm08",1,2016,"7/13/2016","20B","W","20","PMLE","",NA,"NK269720","N","V",177,80,19,"22","25.8","F","A","CLL",""
"csm08",1,2016,"7/13/2016","20B","W","20","PMLE","",NA,"NK269721","N","V",179,83,18,"24","33.6","M","A","S",""
"csm08",1,2016,"7/21/2016","4B","W","13","PMLE","247",NA,"","N","R",NA,78,23,"","33","M","A","S",""
"csm08",1,2016,"7/23/2016","4B","W","13","PMLE","295",NA,"","N","R",NA,77,21,"15","19","F","A","CSN",""
"csm08",1,2016,"7/22/2016","4B","W","14","PMLE","257",NA,"","N","R",NA,71,17,"21","18","F","A","OSN",""
"csm08",1,2016,"7/23/2016","4B","W","14","PMLE","257",NA,"","Y","R",NA,NA,NA,"","","","","",""
"csm08",1,2016,"7/23/2016","4B","W","14","PMLE","290",NA,"","Y","R",NA,NA,NA,"","","","","",""
"csm08",1,2016,"7/22/2016","4B","W","15","PMLE","290",NA,"","N","R",NA,76,22,"16","25","M","A","NS",""
"csm08",1,2016,"7/27/2016","R1A","N","3","PMLE","",NA,"NK269791","N","V",180,77,16,"23","33.8","M","A","S",""
"csm08",1,2016,"7/27/2016","R1A","N","3","PMLE","",NA,"NK269792","N","V",195,86,17,"23","39.8","F","A","OEN",""
"csm08",1,2016,"7/26/2016","R1A","N","4","PMLE","",NA,"NK269768","N","V",192,89,16,"23","30.7","F","A","OEN",""
"csm08",1,2016,"7/28/2016","R1A","N","4","PMLE","",NA,"NK269819","N","V",157,70,16,"21","23.3","M","A","S",""
"csm08",1,2016,"7/26/2016","R1A","N","5","PMLE","",NA,"NK269770","N","V",175,77,18,"24","22.6","M","A","S",""
"csm08",1,2016,"7/27/2016","R1A","N","7","PMLE","",NA,"NK269797","N","V",155,72,15,"22","18.2","F","JUV","CSN",""
"csm08",1,2016,"7/29/2016","R1A","N","9","PMLE","",NA,"NK269842","N","V",179,90,16,"23","32.5","M","A","S",""
